Time_s,Gate_V,Inductor_Current_A,Output_Voltage_V,Switching_Node_V,Diode_Current_A,Load_Current_A
4.47e-05,0.0,2.0367083887175754,0.128350136989076,0.827428670493871,2.032535817388069,0.0053479223745448
4.48e-05,0.0,2.0408800385805863,0.1292734826555955,0.828350136989076,2.0367083887175754,0.0053863951106498
4.49e-05,0.0,2.0450507650979306,0.1301987070389909,0.8292734826555955,2.0408800385805863,0.0054249461266246
4.5e-05,0.0,2.049220566390892,0.1311258096839779,0.8301987070389909,2.0450507650979306,0.005463575403499
4.51e-05,0.0,2.053389440581208,0.1320547901344267,0.8311258096839779,2.049220566390892,0.0055022829222677
4.52e-05,0.0,2.0575573857910734,0.1329856479333626,0.8320547901344267,2.053389440581208,0.0055410686638901
4.53e-05,0.0,2.06172440014314,0.1339183826229658,0.8329856479333626,2.0575573857910734,0.0055799326092902
4.54e-05,0.0,2.065890481760517,0.1348529937445721,0.8339183826229658,2.06172440014314,0.0056188747393571
4.55e-05,0.0,2.0700556287667724,0.1357894808386726,0.8348529937445721,2.065890481760517,0.0056578950349446
4.56e-05,0.0,2.074219839285934,0.1367278434449144,0.8357894808386727,2.0700556287667724,0.0056969934768714
4.57e-05,0.0,2.078383111442489,0.1376680811021003,0.8367278434449144,2.074219839285934,0.0057361700459208
4.58e-05,0.0,2.082545443361387,0.1386101933481897,0.8376680811021003,2.078383111442489,0.0057754247228412
4.59e-05,0.0,2.0867068331680385,0.1395541797202981,0.8386101933481896,2.082545443361387,0.0058147574883457
4.6e-05,0.0,2.090867278988318,0.140500039754698,0.8395541797202981,2.0867068331680385,0.0058541683231124
4.61e-05,0.0,2.0950267789485637,0.1414477729868185,0.840500039754698,2.090867278988318,0.0058936572077841
4.62e-05,0.0,2.0991853311755766,0.1423973789512461,0.8414477729868185,2.0950267789485637,0.0059332241229685
4.63e-05,0.0,2.1033429337966254,0.1433488571817246,0.8423973789512461,2.0991853311755766,0.0059728690492385
4.64e-05,0.0,2.107499584939444,0.1443022072111552,0.8433488571817246,2.1033429337966254,0.0060125919671314
4.65e-05,0.0,2.111655282732233,0.1452574285715971,0.8443022072111552,2.107499584939444,0.0060523928571498
4.66e-05,0.0,2.115810025303661,0.1462145207942676,0.8452574285715971,2.111655282732233,0.0060922716997611
4.67e-05,0.0,2.119963810782867,0.1471734834095421,0.8462145207942676,2.115810025303661,0.0061322284753975
4.68e-05,0.0,2.124116637299457,0.1481343159469546,0.8471734834095421,2.119963810782867,0.0061722631644564
4.69e-05,0.0,2.1282685029835107,0.1490970179351978,0.8481343159469547,2.124116637299457,0.0062123757472999
4.7e-05,0.0,2.1324194059655754,0.1500615889021234,0.8490970179351978,2.1282685029835107,0.0062525662042551
4.71e-05,0.0,2.136569344376673,0.1510280283747422,0.8500615889021234,2.1324194059655754,0.0062928345156142
4.72e-05,0.0,2.1407183163482983,0.1519963358792244,0.8510280283747421,2.136569344376673,0.0063331806616343
4.73e-05,0.0,2.144866320012419,0.1529665109409002,0.8519963358792244,2.1407183163482983,0.0063736046225375
4.74e-05,0.0,2.1490133535014784,0.1539385530842592,0.8529665109409001,2.144866320012419,0.0064141063785108
4.75e-05,0.0,2.153159414948394,0.1549124618329515,0.8539385530842593,2.1490133535014784,0.0064546859097063
4.76e-05,0.0,2.157304502486561,0.1558882367097873,0.8549124618329516,2.153159414948394,0.0064953431962411
4.77e-05,0.0,2.1614486142498515,0.1568658772367374,0.8558882367097873,2.157304502486561,0.0065360782181973
4.78e-05,0.0,2.1655917483726146,0.1578453829349336,0.8568658772367375,2.1614486142498515,0.0065768909556222
4.79e-05,0.0,2.16973390298968,0.1588267533246686,0.8578453829349336,2.1655917483726146,0.0066177813885278
4.8e-05,0.0,2.1738750762363552,0.1598099879253964,0.8588267533246686,2.16973390298968,0.0066587494968915
4.81e-05,0.0,2.17801526624843,0.1607950862557325,0.8598099879253964,2.1738750762363552,0.0066997952606555
4.82e-05,0.0,2.182154471162174,0.1617820478334543,0.8607950862557325,2.17801526624843,0.0067409186597272
4.83e-05,0.0,2.1862926891143406,0.1627708721755008,0.8617820478334542,2.182154471162174,0.0067821196739792
4.84e-05,0.0,2.190429918242165,0.1637615587979737,0.8627708721755007,2.1862926891143406,0.0068233982832489
4.85e-05,0.0,2.1945661566833667,0.1647541072161369,0.8637615587979737,2.190429918242165,0.006864754467339
4.86e-05,0.0,2.1987014025761504,0.1657485169444169,0.8647541072161369,2.1945661566833667,0.0069061882060173
4.87e-05,0.0,2.2028356540592062,0.1667447874964033,0.8657485169444169,2.1987014025761504,0.0069476994790168
4.88e-05,0.0,2.2069689092717097,0.1677429183848489,0.8667447874964033,2.2028356540592062,0.0069892882660353
4.89e-05,0.0,2.211101166353325,0.1687429091216696,0.8677429183848488,2.2069689092717097,0.0070309545467362
4.9e-05,0.0,2.215232423444204,0.1697447592179453,0.8687429091216696,2.211101166353325,0.0070726983007477
4.91e-05,0.0,2.219362678684986,0.1707484681839196,0.8697447592179453,2.215232423444204,0.0071145195076633
4.92e-05,0.0,2.223491930216802,0.1717540355290002,0.8707484681839196,2.219362678684986,0.0071564181470416
4.93e-05,0.0,2.227620176181273,0.1727614607617592,0.8717540355290002,2.223491930216802,0.0071983941984066
4.94e-05,0.0,2.231747414720511,0.1737707433899332,0.8727614607617592,2.227620176181273,0.0072404476412472
4.95e-05,0.0,2.235873643977121,0.1747818829204238,0.8737707433899332,2.231747414720511,0.0072825784550176
4.96e-05,0.0,2.239998862094201,0.1757948788592975,0.8747818829204238,2.235873643977121,0.0073247866191373
4.97e-05,0.0,2.2441230672153414,0.1768097307117861,0.8757948788592975,2.239998862094201,0.007367072112991
4.98e-05,0.0,2.2482462574846296,0.1778264379822872,0.8768097307117861,2.2441230672153414,0.0074094349159286
4.99e-05,0.0,2.2523684310466474,0.1788450001743639,0.8778264379822872,2.2482462574846296,0.0074518750072651
5e-05,0.0,2.256489586046473,0.1798654167907454,0.878845000174364,2.2523684310466474,0.007494392366281
5.01e-05,5.0,2.2614895860464728,0.1798620102487608,0.0,0.0,0.0074942504270317
5.02e-05,5.0,2.2664895860464727,0.1798586037712939,0.0,0.0,0.0074941084904705
5.03e-05,5.0,2.271489586046473,0.1798551973583437,0.0,0.0,0.0074939665565976
5.04e-05,5.0,2.2764895860464724,0.1798517910099089,0.0,0.0,0.0074938246254128
5.05e-05,5.0,2.2814895860464723,0.1798483847259883,0.0,0.0,0.0074936826969161
5.06e-05,5.0,2.286489586046472,0.1798449785065806,0.0,0.0,0.0074935407711075
5.07e-05,5.0,2.291489586046472,0.1798415723516846,0.0,0.0,0.0074933988479868
5.08e-05,5.0,2.296489586046472,0.1798381662612991,0.0,0.0,0.0074932569275541
5.09e-05,5.0,2.301489586046472,0.179834760235423,0.0,0.0,0.0074931150098092
5.1e-05,5.0,2.306489586046472,0.1798313542740549,0.0,0.0,0.0074929730947522
5.11e-05,5.0,2.311489586046472,0.1798279483771936,0.0,0.0,0.007492831182383
5.12e-05,5.0,2.316489586046472,0.1798245425448379,0.0,0.0,0.0074926892727015
5.13e-05,5.0,2.3214895860464715,0.1798211367769867,0.0,0.0,0.0074925473657077
5.14e-05,5.0,2.3264895860464714,0.1798177310736387,0.0,0.0,0.0074924054614016
5.15e-05,5.0,2.3314895860464717,0.1798143254347926,0.0,0.0,0.007492263559783
5.16e-05,5.0,2.336489586046471,0.1798109198604472,0.0,0.0,0.0074921216608519
5.17e-05,5.0,2.341489586046471,0.1798075143506013,0.0,0.0,0.0074919797646083
5.18e-05,5.0,2.346489586046471,0.1798041089052538,0.0,0.0,0.0074918378710522
5.19e-05,5.0,2.351489586046471,0.1798007035244033,0.0,0.0,0.0074916959801834
5.2e-05,5.0,2.3564895860464707,0.1797972982080487,0.0,0.0,0.007491554092002
5.21e-05,5.0,2.36148958604647,0.1797938929561887,0.0,0.0,0.0074914122065078
5.22e-05,5.0,2.3664895860464705,0.1797904877688221,0.0,0.0,0.0074912703237009
5.23e-05,5.0,2.3714895860464704,0.1797870826459477,0.0,0.0,0.0074911284435811
5.24e-05,5.0,2.3764895860464703,0.1797836775875642,0.0,0.0,0.0074909865661485
5.25e-05,5.0,2.38148958604647,0.1797802725936705,0.0,0.0,0.0074908446914029
5.26e-05,5.0,2.38648958604647,0.1797768676642654,0.0,0.0,0.0074907028193443
5.27e-05,5.0,2.39148958604647,0.1797734627993475,0.0,0.0,0.0074905609499728
5.28e-05,5.0,2.39648958604647,0.1797700579989157,0.0,0.0,0.0074904190832881
5.29e-05,5.0,2.40148958604647,0.1797666532629687,0.0,0.0,0.0074902772192903
5.3e-05,5.0,2.4064895860464697,0.1797632485915054,0.0,0.0,0.0074901353579793
5.31e-05,5.0,2.4114895860464696,0.1797598439845245,0.0,0.0,0.0074899934993551
5.32e-05,5.0,2.416489586046469,0.1797564394420248,0.0,0.0,0.0074898516434177
5.33e-05,5.0,2.4214895860464694,0.1797530349640051,0.0,0.0,0.0074897097901668
5.34e-05,5.0,2.426489586046469,0.1797496305504641,0.0,0.0,0.0074895679396026
5.35e-05,5.0,2.431489586046469,0.1797462262014006,0.0,0.0,0.007489426091725
5.36e-05,0.0,2.435609839820268,0.1808480444559255,0.8797462262014006,2.431489586046469,0.0075353351856635
5.37e-05,0.0,2.439728991775812,0.1819517146853049,0.8808480444559255,2.435609839820268,0.007581321445221
5.38e-05,0.0,2.4438470400611263,0.183057236353637,0.8819517146853049,2.439728991775812,0.0076273848480682
5.39e-05,0.0,2.447963982824773,0.1841646089241883,0.883057236353637,2.4438470400611263,0.0076735253718411
